mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
4.177918195724487,0.25661724856832907,0.0031241893768310545,0.0038282336167578244,0.7,300,2,2,9,0.1,"{'subsample': 0.7, 'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 9, 'learning_rate': 0.1}",0.5483870967741935,0.6440677966101694,0.5901639344262295,0.5,0.5161290322580645,0.5597495720137314,0.052223491128079606,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0
6.865696287155151,0.1925129289006724,0.011375713348388671,0.0033258610391496027,0.7,500,5,2,9,0.01,"{'subsample': 0.7, 'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 9, 'learning_rate': 0.01}",0.5714285714285714,0.6181818181818182,0.6101694915254238,0.5454545454545454,0.5,0.5690468853180717,0.04343973680836901,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3.8266945838928224,0.05791045887662968,0.007836866378784179,0.004766548269243918,0.9,500,5,4,5,0.1,"{'subsample': 0.9, 'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_depth': 5, 'learning_rate': 0.1}",0.5333333333333333,0.6666666666666666,0.59375,0.49056603773584906,0.5079365079365079,0.5584505091344714,0.06441681317904813,14,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.971414566040039,0.00957281193060108,0.003786134719848633,0.0034384354900277216,0.7,500,10,1,3,0.01,"{'subsample': 0.7, 'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': 3, 'learning_rate': 0.01}",0.5818181818181818,0.5,0.43636363636363634,0.32653061224489793,0.35714285714285715,0.44037105751391464,0.09323683767297586,27,0.7368421052631579,0.7413793103448276,0.7883817427385892,0.7725321888412017,0.7883817427385892,0.7655034179852731,0.022359259930436998
1.5806376457214355,0.06234939749910863,0.006717777252197266,0.005051031862886812,0.9,200,2,4,5,0.1,"{'subsample': 0.9, 'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': 5, 'learning_rate': 0.1}",0.5517241379310345,0.6885245901639344,0.6129032258064516,0.48148148148148145,0.5151515151515151,0.5699569901068834,0.07357533221688517,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2.3177141189575194,0.02077432127760774,0.00601344108581543,0.002944516430221344,0.9,200,5,4,7,0.01,"{'subsample': 0.9, 'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_depth': 7, 'learning_rate': 0.01}",0.5185185185185185,0.5925925925925926,0.49122807017543857,0.4166666666666667,0.38596491228070173,0.48099415204678364,0.0736689960261088,26,0.966542750929368,0.9588014981273408,0.9509433962264151,0.9703703703703703,0.9705882352941176,0.9634492501895224,0.0075688142041785925
0.9551161766052246,0.007774308290975222,0.0031340599060058595,0.006268119812011719,1.0,200,2,1,3,0.1,"{'subsample': 1.0, 'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 3, 'learning_rate': 0.1}",0.5862068965517241,0.6666666666666666,0.5,0.4444444444444444,0.5757575757575758,0.5546151166840821,0.07631642284138994,16,0.9854014598540146,0.974169741697417,0.9703703703703703,0.974169741697417,0.9781021897810219,0.9764427006800481,0.005103315598249013
5.052639293670654,0.06320006447664397,0.007674551010131836,0.006886701836575963,0.7,300,2,1,9,0.01,"{'subsample': 0.7, 'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 9, 'learning_rate': 0.01}",0.5555555555555556,0.6037735849056604,0.5862068965517241,0.52,0.3793103448275862,0.5289692763681053,0.08007109801859373,24,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.1938806056976319,0.12887543053225248,0.0007666110992431641,0.0015332221984863282,0.7,100,2,1,7,0.2,"{'subsample': 0.7, 'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 7, 'learning_rate': 0.2}",0.5161290322580645,0.6779661016949152,0.6101694915254238,0.5901639344262295,0.5079365079365079,0.5804730135682282,0.0630593205842237,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2.0912373065948486,0.040375057528483214,0.00099945068359375,0.0019989013671875,0.8,500,10,2,3,0.1,"{'subsample': 0.8, 'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_depth': 3, 'learning_rate': 0.1}",0.5757575757575758,0.6557377049180327,0.5901639344262295,0.5714285714285714,0.59375,0.5973675573060818,0.030370628332582496,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
